id,wav_path,duration_seconds,reference_word_count,prediction_word_count,word_edits,char_edits,wer,cer,bucket_flags,reference,prediction
sample_00004274,dataset/extracted_wavs/sample_00004274.wav,4.679,12,12,1,1,0.083333,0.014706,code_switched_reference,باش نقولوا راهو c'est vrai صفاقس باهية وانحبوها ولكن ثمة برشا عاطفية,بش نقولوا راهو c'est vrai صفاقس باهية وانحبوها ولكن ثمة برشا عاطفية
sample_00014127,dataset/extracted_wavs/sample_00014127.wav,5.570,14,14,2,2,0.142857,0.028571,arabic_only_reference,ا ايران راهي حضارة كبيرة بلاد فارس بلاد الفرس فيها برشا حاجات ما تتشاف,ا ايران راهي حضارة كبيرة بلاد فارس بلد الفرص فيها برشا حاجات ما تتشاف
sample_00012208,dataset/extracted_wavs/sample_00012208.wav,2.125,9,9,4,13,0.444444,0.302326,code_switched_reference|short_clip,من غير ما نشعر خرجت الكاميرا وصورت ال scène,من غير ما نشعر خرجت كني راهو صورت السان
sample_00008568,dataset/extracted_wavs/sample_00008568.wav,4.038,8,9,3,7,0.375000,0.162791,arabic_only_reference,ا معناها ا حلمة قاعدة تتحقق بالشوية بالشوية,ا معناها ا حلمة قاعدة تتحقق شوية في شويا
sample_00010457,dataset/extracted_wavs/sample_00010457.wav,2.584,7,7,3,5,0.428571,0.125000,arabic_only_reference|short_clip,يعاود لاخر يطلعه الفوق يعاود يجبده للوطة,يعاود لاخر يطلعوا الفوق يعاود يجبدوا اللوطة
sample_00002710,dataset/extracted_wavs/sample_00002710.wav,1.942,6,7,2,3,0.333333,0.100000,arabic_only_reference|short_clip,ما ينجمش يخدم لمتحان كيما غيره,ما ينجمش يخدم نمتح عن كيما غيره
sample_00012044,dataset/extracted_wavs/sample_00012044.wav,14.750,35,37,13,28,0.371429,0.158192,code_switched_reference|long_clip,وقت لي لجابة متاعك تولي انا انحب نكون روحي وقتها تولي حققت ال minimum متاع ال ال self satisfaction انت c'est bon راضي علي المس المسار اللي انت مشيت فيه وراضي عاللي قاعد تعمل فيه,وقت اللي جاي برثايا تتولي انا انحب نكون روحي وقتها تولي ح حققت minimum متاع ال ال ال self satisfaction انت c'est bon راضي علي ال مث المسال اللي انت مشيت فيه وراضي عليه قاعدة تعبت فيه
sample_00008857,dataset/extracted_wavs/sample_00008857.wav,8.430,14,15,6,11,0.428571,0.157143,arabic_only_reference,فا ثمة اصلاحات هامة تمت علي مستوي هالنخب هذيا اللي هي اتت بثقافة جديدة,ف ثمة اصلاحات هامة تمت علي وسط وال هالمخب هذيا اللي هي اكتبي ثقافة جديدة
sample_00011983,dataset/extracted_wavs/sample_00011983.wav,2.389,6,6,4,8,0.666667,0.258065,arabic_only_reference|short_clip,والخدمة متاع بعد غدوة تبدا غدوة,ولخدمة متاع قدر خوذوة تبدا ودوة
sample_00012944,dataset/extracted_wavs/sample_00012944.wav,1.194,3,3,1,1,0.333333,0.055556,arabic_only_reference|short_clip,واحنا انقريوا لواش,واحنا انقاريوا لواش
sample_00015532,dataset/extracted_wavs/sample_00015532.wav,0.997,1,1,1,7,1.000000,1.000000,code_switched_reference|short_clip|major_omission,comment,alors
