id,text,duration
sample_00000000,آنا مواطن تونسي من مدنين من قرية إسمها أم التمر,3.395
sample_00000001,من عايلة فقيرة جدا,1.393
sample_00000002,توا الأكيد كي بش نبدا نحكي برشا بش يقولوا وكأنه يتاجر يعني بماضيه برشا برشا قالوها لي زعما أوه مناضل لست مناضل ومانيش من عايلة مناضلة,13.39
sample_00000003,ولكن النضال أشكال,2.997
sample_00000004,آنا كي حليت عينيا أول فشل الساعة آنا نمن بالفشل,4.125
sample_00000005,يصنع ال الأسطورة,1.709
sample_00000006,أول فشل الساعة في حياتي أنني حليت عينيا إم ما لقيتش بابا,4.629
sample_00000007,أذاكا الساعة الل السؤال لي قعدت إن نسئل فيه,3.996
sample_00000008,آم,1.114
sample_00000009,ثاني فشل وقت اللي آ لقيت بابا لقيت آ روحي مطالب أنني آ أغادر أ تلك الطفولة الجميلة ولاد خالاتي وعماتي,12.884
sample_00000010,فهمتني الناس لي تربيت معاهم ولعبت معاهم وعملت معاهم ذكريات وبنينا أحلام حتى با نقولوا في مدنين بالقزة بالرمل,8.269
sample_00000011,فهمتني,0.969
sample_00000012,فالوالد كان مضطر أنه يغادر مضطر أنه يغادر مدنين,5.92
sample_00000013,فغادر وغادرنا,2.084
sample_00000014,وتركنا كل شيء أشياءنا وأشلاءنا,4.516
sample_00000015,وكنت مطالب أنني نبني طفولة جديدة,4.286
sample_00000016,نلقى روحي من أقصى الجنوب في المرسى,3.343
sample_00000017,من مدنين نلقى روحي في المرسى ليس عيب,2.975
sample_00000018,ولكن العيب أنو إم ما تتقبلش ماللول,2.967
sample_00000019,عنا مشكلة كبيرة برشا في البلاد راهو,2.568
sample_00000020,ماثماش عنصرية ماثماش جهويات ثمة العنصرية وثمة الجهويات حتى لو كان مخبية في القاع موجودة موجودة عاللخر,9.468
sample_00000021,أول سؤال يتسئل كان في تونس إنت منين,3.036
sample_00000022,يا ودي آنا من تونس,1.259
sample_00000023,أي أي يعاود لك منين من تونس مهم ياسر,4.212
sample_00000024,فهمتني هذايا تقريبا ما شفتوش في العالم,2.219
sample_00000025,كنت آ آ ممت متميز جدا في الدراسة متميز جدا في الدراسة,5.682
