split,id,wav_path,duration_seconds,text,has_latin,is_short_clip,rms_dbfs,peak_dbfs,selection_reason,suggested_audio_action,audit_status,transcript_action,audio_action,keep_for_phase05_boost,corrected_text,notes
train,sample_00008954,dataset/extracted_wavs/sample_00008954.wav,1.300,انا انحب نقول,False,True,-71.722,-55.823,very_low_volume|short_clip,consider_gain_normalize,,,,,,
train,sample_00009064,dataset/extracted_wavs/sample_00009064.wav,2.120,لانو اي ننساوا,False,True,-71.691,-58.053,very_low_volume|short_clip,consider_gain_normalize,,,,,,
train,sample_00008936,dataset/extracted_wavs/sample_00008936.wav,2.561,احتضن اجيال وجمعيات امبعدها,False,True,-71.618,-54.254,very_low_volume|short_clip,consider_gain_normalize,,,,,,
train,sample_00009540,dataset/extracted_wavs/sample_00009540.wav,3.820,في المرحلة الاولي اللي هي مرحلة اختيار المجال تاع العمل,False,False,-71.601,-56.775,very_low_volume,consider_gain_normalize,,,,,,
train,sample_00008938,dataset/extracted_wavs/sample_00008938.wav,2.340,الجمعية التونسية للنساء الديمقراطيات,False,True,-71.594,-57.342,very_low_volume|short_clip,consider_gain_normalize,,,,,,
train,sample_00008940,dataset/extracted_wavs/sample_00008940.wav,3.661,مالاجيال الجديدة نعتبر في الجمعية التونسيةللنساء الديمقراطيات,False,False,-71.539,-57.149,very_low_volume,consider_gain_normalize,,,,,,
train,sample_00009013,dataset/extracted_wavs/sample_00009013.wav,4.140,ولهنا بش نحكي لكم الحكاية الصغيرة الحكاية الخاصة,False,False,-71.517,-57.640,very_low_volume,consider_gain_normalize,,,,,,
train,sample_00008928,dataset/extracted_wavs/sample_00008928.wav,3.080,واللي وصلوا له برشا نسا موجودات لهنا من حقوق,False,False,-71.488,-55.989,very_low_volume,consider_gain_normalize,,,,,,
train,sample_00008975,dataset/extracted_wavs/sample_00008975.wav,4.360,واللي ما وصلنا تحصلنا علي قانون اساسي لمناهضة العنف,False,False,-71.473,-55.502,very_low_volume,consider_gain_normalize,,,,,,
train,sample_00008895,dataset/extracted_wavs/sample_00008895.wav,1.800,اما حكاية صعيبة عليا,False,True,-71.459,-54.602,very_low_volume|short_clip,consider_gain_normalize,,,,,,
train,sample_00009015,dataset/extracted_wavs/sample_00009015.wav,1.100,باب منارة,False,True,-71.459,-58.160,very_low_volume|short_clip,consider_gain_normalize,,,,,,
train,sample_00009117,dataset/extracted_wavs/sample_00009117.wav,1.481,كان ديما موجود,False,True,-71.450,-56.684,very_low_volume|short_clip,consider_gain_normalize,,,,,,
train,sample_00009068,dataset/extracted_wavs/sample_00009068.wav,1.720,انا ه حبيت نقول لكم,False,True,-71.443,-56.243,very_low_volume|short_clip,consider_gain_normalize,,,,,,
train,sample_00008911,dataset/extracted_wavs/sample_00008911.wav,1.280,في المدينة,False,True,-71.443,-58.945,very_low_volume|short_clip,consider_gain_normalize,,,,,,
train,sample_00008899,dataset/extracted_wavs/sample_00008899.wav,1.340,حكاية صعيبة,False,True,-71.442,-57.948,very_low_volume|short_clip,consider_gain_normalize,,,,,,
train,sample_00009097,dataset/extracted_wavs/sample_00009097.wav,3.800,عنا الحجج العلمية والبراهين العلمية,False,False,-71.436,-57.245,very_low_volume,consider_gain_normalize,,,,,,
train,sample_00008955,dataset/extracted_wavs/sample_00008955.wav,4.281,اللي احنا ماناش في المساواة التامة والفعلية لي حلموا بيها نسا,False,False,-71.409,-56.243,very_low_volume,consider_gain_normalize,,,,,,
